"CommandLine\Decrypter\Strings\Program.es-ES.resx","ProgramUsage","missing","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>","","1"
"CommandLine\Strings\Program.es-ES.resx","AddedFoldersHeader","updated","Added folders","Ficheros añadidos","2"
"CommandLine\Strings\Program.es-ES.resx","CollectionStatusHeader","updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","Se han encontrado {0} cadenas de copia de seguridad en el backend

Tipo\tTiempo\t\t\tVolumenes\tTamaño","3"
"CommandLine\Strings\Program.es-ES.resx","CollectionStatusLineFull","not-updated","Full\t{0}\t{1}\t{2}","Full\t{0}\t{1}\t{2}","4"
"CommandLine\Strings\Program.es-ES.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}"," Inc\t{0}\t{1}\t{2}","5"
"CommandLine\Strings\Program.es-ES.resx","ControlFilesHeader","updated","Control files","Ficheros de control","6"
"CommandLine\Strings\Program.es-ES.resx","DeletedFilesHeader","updated","Deleted files","Ficheros borrados","7"
"CommandLine\Strings\Program.es-ES.resx","DeletedFoldersHeader","updated","Deleted folders","Carpetas borradas","8"
"CommandLine\Strings\Program.es-ES.resx","DuplicatiOptionsHeader","updated","Duplicati options:","Opciones de Duplicati:","9"
"CommandLine\Strings\Program.es-ES.resx","FailedToParseParametersFileError","missing","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.es-ES.resx","FileEntryNotFound","updated","< not found >","< no encontrado >","10"
"CommandLine\Strings\Program.es-ES.resx","FiltersCannotBeUsedWithFileError","missing","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.es-ES.resx","FindLastVersionEntry","not-updated","{0}\t{1}","{0}\t{1}","11"
"CommandLine\Strings\Program.es-ES.resx","FindLastVersionHeader","not-updated","Backuptime\t\tFilename","Backuptime\t\tFilename","12"
"CommandLine\Strings\Program.es-ES.resx","FolderCreatedMessage","updated","The folder {0} was created","La carpeta {0} se ha creado","13"
"CommandLine\Strings\Program.es-ES.resx","GenericModulesHeader","updated","Supported generic modules:","Módulos genéricos soportados:","14"
"CommandLine\Strings\Program.es-ES.resx","IntegerParseError","updated","Unable to parse ""{0}"" into a number","Imposible de procesar {0} a número","15"
"CommandLine\Strings\Program.es-ES.resx","InternalOptionUsedError","updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline","Se ha pasado la opción --{0}, pero está reservada para uso interno y no se puede usar en la línea de comandos","16"
"CommandLine\Strings\Program.es-ES.resx","ModifiedFilesHeader","updated","Modified files","Ficheros modificados","17"
"CommandLine\Strings\Program.es-ES.resx","ModuleIsLoadedAutomatically","updated","Module is loaded atomatically, use --disable-module to prevent this","El modulo se carga automáticamente, usa --disable-module para evitarlo","18"
"CommandLine\Strings\Program.es-ES.resx","ModuleIsNotLoadedAutomatically","updated","Module is not loaded atomatically, use --enable-module to load it","El modulo no se carga automáticamente, usa --disable-module para evitarlo","19"
"CommandLine\Strings\Program.es-ES.resx","NewFilesHeader","updated","New files","Nuevos ficheros","20"
"CommandLine\Strings\Program.es-ES.resx","NewOrModifiedFilesHeader","updated","New/Modified files","Ficheros nuevos/modificados","21"
"CommandLine\Strings\Program.es-ES.resx","ParametersFileOptionLong","missing","This option can be used to store some or all of the options given to the commandline client. The file must be a plain text file, UTF-8 encoding is preferred. Each line in the file should be of the format --option=value. The special options --source and --target can be used to override the localpath and the remote destination uri, respectively. The options in this file take precedence over the options provided on the commandline. You cannot specify filters in both the file and on the commandline.",""
"CommandLine\Strings\Program.es-ES.resx","ParametersFileOptionShort","missing","Path to a file with parameters",""
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageBackend","updated","A <backend> is identified by an url like ftp://host/ or ssh://server/.
 Using this system, Duplicati can detect if you want to backup or restore.
 The cleanup and delete commands do not delete files, unless the --force option is specified, so you may examine what files are affected, before actually deleting the files.
 The cleanup command should not be used unless a backup was interrupted and has left partial files. Duplicati will inform you if this happens.
 The delete command can be used to remove backup sets when newer backups are present.","Un <backend> se identifica por una url del tipo ftp://host/ o ssh://server/.
 Usando este sistema, Duplicati puede detectar si quieres hacer una copia de seguridad o restaurar.
 Los comandos de limpieza y borrado no borran ficheros, excepto si se especifica la opción --force, con lo que puedes examinar que ficheros están afectados antes de realmente borrarlos.
 El comando de limpieza no se debería usar excepto si se interrumpió una copia de seguridad y han quedado ficheros parciales. Duplicati te informará de este caso.
 El comando de borrado puede ser usado para borrar sets copias de seguridad cuando existan copias de seguridad más recientes.","22"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageBackup","updated","Backup (make a full or incremental backup):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>","Copia de seguridad (hacer una copia de seguridad entera o incremental):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>","23"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageCleanup","updated","Cleanup (remove partial and unused files):
  Duplicati.CommandLine cleanup [options] <backend>","Limpieza (limpiar ficheros parciales o sin usar):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>","24"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageCreateFolders","updated","Create folder (usually done automatically):
  Duplicati.CommandLine create-folder [options] <backend>","Crear carpeta (usualmente se hace de forma automática):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>","25"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageDeleteOld","updated","Delete old backups:
  Duplicati.CommandLine delete-all-but-n-full <number of full backups to keep> [options] <backend>
  Duplicati.CommandLine delete-older-than <max allowed age> [options] <backend>","Borrar copias de seguridad antiguas:
  Duplicati.CommandLine delete-all-but-n-full <number of full backups to keep> [options] <backend>
  Duplicati.CommandLine delete-older-than <max allowed age> [options] <backend>","26"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageFilters","missing","Filters:
 Duplicati uses filters to include and exclude files.
  Duplicati uses a ""first-touch"" filter where the first rule that matches a file determines if the file is included or excluded. Internally Duplicati uses regular expression filters, but supports filters in the form of filename globbing. The order of the commandline arguments also determine what order they are applied in. An example:
    --include=*.txt --exclude=*\Thumbs.db --include=*

  Even though the last filter includes everything, no files named ""Thumbs.db"" are included because they match the exclude rule before the include rule. Paths are evaluated in full, and as paths that are relative to folder being backed up, but including a leading slash. An example:

{0}
  If a folder is excluded, files in that folder are always excluded, even if there are filters that include files in that folder. If a folder is included with a wildcard at the end, all files are included, if the folder is included without a wildcard, files may be excluded or included with extra rules.","","27"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageFindLastVersion","updated","Find the last version of a file:
  Duplicati.CommandLine find-last-version [options] --file-to-restore=<files to find> <backend>","Encontrar la última versión de un fichero:
  Duplicati.CommandLine find-last-version [options] --file-to-restore=<files to find> <backend>","28"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageHeader","updated","********** Duplicati v. {0} **********

Usage:","********** Duplicati v. {0} **********

Uso:","29"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageListContentFiles","updated","List content files (files that can be restored):
  Duplicati.CommandLine list-current-files [options] <backend>","Listar contenido (ficheros que se pueden restaurar):
  Duplicati.CommandLine list-current-files [options] <backend>","30"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageListFiles","updated","List files:
  Duplicati.CommandLine list [options] <backend>","Listar ficheros:
  Duplicati.CommandLine list [options] <backend>","31"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageListSets","updated","List backup sets:
  Duplicati.CommandLine collection-status [options] <backend>","Listar sets de copia de seguridad:
  Duplicati.CommandLine collection-status [options] <backend>","32"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageListSignatureFiles","updated","List signature files (files in a single backup volume set):
  Duplicati.CommandLine list-actual-signature-files [options] <backend>","Listar ficheros de firma (ficheros en un único set de copia de seguridad):
  Duplicati.CommandLine list-actual-signature-files [options] <backend>","33"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageListSourceFolders","missing","List source folders (folders backed up from):
  Duplicati.CommandLine list-source-folders [options] <backend>","","34"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageOptionTypes","missing","Option types:
 The following option types are available:
  Integer: a numerical value
  Boolean: a truth value, --force and --force=true are equivalent. --force=false is the opposite
  Timespan: a time in the special time format (explained below)
  Size: a size like 5mb or 200kb
  Enumeration: any of the listed values
  Path: the path to a folder or file
  String: any other type","","35"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsagePurgeCache","missing","Purge signature cache:
  Duplicati.CommandLine purge-signature-cache [options]","","36"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageRestore","missing","Restore (restore all or some files):
  Duplicati.CommandLine [options] <backend> <destinationfolder>","","37"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageTimes","missing","Times:
 Duplicati uses the time system from duplicity, where times may be presented as:
  1: the string ""now"", indicating the current time
  2: the number of seconds after epoch, eg: 123456890
  3: a string like ""2009-03-26T08:30:00+01:00""
  4: an interval string, using Y, M, W, D, h, m, s for Year, Month, Week, Day, hour, minute or second, eg: ""1M4D"" for one month and four days, or ""5m"" for five minutes.","","38"
"CommandLine\Strings\Program.es-ES.resx","ProgramUsageVerify","missing","Verify backup integrity:
  Duplicati.CommandLine verify <backend> --verification-level=manifest|signatures|full","","39"
"CommandLine\Strings\Program.es-ES.resx","SupportedBackendsHeader","missing","Supported backends:","","40"
"CommandLine\Strings\Program.es-ES.resx","SupportedCompressionModulesHeader","missing","Supported compression modules:","","41"
"CommandLine\Strings\Program.es-ES.resx","SupportedEncryptionModulesHeader","missing","Supported encryption modules:","","42"
"CommandLine\Strings\Program.es-ES.resx","SupportedOptionsHeader","updated","Supported options:","Opciones soportadas:","43"
"CommandLine\Strings\Program.es-ES.resx","TimeParseError","missing","Unable to parse ""{0}"" into a time offset: {1}","","44"
"CommandLine\Strings\Program.es-ES.resx","UnhandledException","updated","An error occured: {0}","Ha ocurrido un error: {0}","45"
"CommandLine\Strings\Program.es-ES.resx","UnhandledInnerException","missing","The inner error message is: {0}","","46"
"CommandLine\Strings\Program.es-ES.resx","UsageExampleLinux","missing","Duplicati.CommandLine /home/user/ ftp://host/folder --exclude=/file.txt

  In this example the file ""/home/user/file.txt"" is excluded.","","47"
"CommandLine\Strings\Program.es-ES.resx","UsageExampleWindows","missing","Duplicati.CommandLine C:\Documents\Files ftp://host/folder --exclude=\file.txt

  In this example the file ""C:\Documents\Files\file.txt"" is excluded.","","48"
"CommandLine\Strings\Program.es-ES.resx","VerificationCompleted","missing","Verification completed, summary:
Manifest files verified: {0}
Signature files verified: {1}
Content files verified: {2}
Errors: {3}","","49"
"CommandLine\Strings\Program.es-ES.resx","VerificationErrorHeader","missing","Reported error messages:","","50"
"CommandLine\Strings\Program.es-ES.resx","WrongNumberOfCommandsError_v2","missing","Found {0} commands but expected {1}, commands: 
{2}","","51"
"GUI\ApplicationSetup.es-ES.resx","$this.Text","updated","Duplicati setup","Instalación de Duplicati","52"
"GUI\ApplicationSetup.es-ES.resx","AdvancedTab.Text","updated","Advanced","Avanzado","53"
"GUI\ApplicationSetup.es-ES.resx","BalloonNotificationLevel.ToolTip","updated","Choose the level of notification given by balloon tips","Elija el nivel de notificaciones dadas por globos de sugerencias","54"
"GUI\ApplicationSetup.es-ES.resx","Bandwidth.ToolTip","updated","Set the initial bandwidth limits to use in Duplicati","Selecciona el límite de ancho de banda usado por Duplicati","55"
"GUI\ApplicationSetup.es-ES.resx","BasicTab.Text","updated","Basic","Básico","56"
"GUI\ApplicationSetup.es-ES.resx","CacheSizeLabel.Text","updated","Calculating cache size ...","Calculando el tamaño de caché ...","57"
"GUI\ApplicationSetup.es-ES.resx","CacheSizeLabel.ToolTip","unused","The size of the current cache folder","El tamaño de la carpeta de caché actual","58"
"GUI\ApplicationSetup.es-ES.resx","CancelBtn.Text","updated","Cancel","Cancelar","59"
"GUI\ApplicationSetup.es-ES.resx","ClearCacheButton.Text","updated","Clear cache","Limpiar caché","60"
"GUI\ApplicationSetup.es-ES.resx","ClearCacheButton.ToolTip","updated","Clear any signature files stored in cache, they will be re-downloaded the next time the backup is activated","Limpiar cualquier fichero de firmas guardado en la caché, serán vueltos a descargar la próxima vez que la copia de seguridad se active","61"
"GUI\ApplicationSetup.es-ES.resx","CommonPassword.ToolTip","updated","Enter the default password to apply to new backups","Introduzca la contraseña por defecto para aplicar a nuevas copias de seguridad","62"
"GUI\ApplicationSetup.es-ES.resx","EncryptionMethod.Text","updated","Encryption method","Método de encriptación","63"
"GUI\ApplicationSetup.es-ES.resx","EncryptionMethod.ToolTip","updated","Choose the default encryption module to use for new backups.","Selecciona el módulo de encriptación por defecto a usarse para las nuevas copias de seguridad","64"
"GUI\ApplicationSetup.es-ES.resx","EncryptionModule.ToolTip","updated","Choose the default encryption module to use for new backups","Selecciona el módulo de encriptación por defecto a usarse para las nuevas copias de seguridad","65"
"GUI\ApplicationSetup.es-ES.resx","groupBox1.Text","updated","User interface settings","Ajustes de interfaz de usuario","66"
"GUI\ApplicationSetup.es-ES.resx","groupBox2.Text","updated","Path settings (Advanced)","Configuración de ruta (Avanzado)","67"
"GUI\ApplicationSetup.es-ES.resx","groupBox4.Text","updated","Backup control settings used at startup","Configuración de control de las copia de seguridad utilizado en el arranque","68"
"GUI\ApplicationSetup.es-ES.resx","HideDonateButton.Text","updated","Hide the donate button on the main wizard page","Esconde el botón de donaciones de la página principal del asistente","69"
"GUI\ApplicationSetup.es-ES.resx","HideDonateButton.ToolTip","unused","Check this box to prevent the display of the donation button in the wizard","Selecciona esta casilla para prevenir que se muestre el boón de donaciones en el asistente","70"
"GUI\ApplicationSetup.es-ES.resx","label1.Text","updated","Time a log is shown in recent backups","Tiempo que un registro se muestra en copias de seguridad recientes","71"
"GUI\ApplicationSetup.es-ES.resx","label1.ToolTip","updated","Select the time a backup is displayed in the log window after completion","Seleccione el tiempo que una copia de seguridad es mostrada en la ventana de registros después de completarse","72"
"GUI\ApplicationSetup.es-ES.resx","label2.Text","updated","Sections","Secciones","73"
"GUI\ApplicationSetup.es-ES.resx","label3.Text","updated","User interface language","Idioma del interfaz de usuario","74"
"GUI\ApplicationSetup.es-ES.resx","label3.ToolTip","updated","Choose the language for the user interface (requires restart)","Escoje el idioma del interfaz de usuario (requiere reinicio)","75"
"GUI\ApplicationSetup.es-ES.resx","label4.Text","updated","Temporary folder","Carpeta temporal","76"
"GUI\ApplicationSetup.es-ES.resx","label4.ToolTip","unused","Enter the path where Duplicati stores temporary files","Introduce la ruta donde Duplicati almacena los ficheros temporales","77"
"GUI\ApplicationSetup.es-ES.resx","label5.Text","unused","Password","Contraseña","78"
"GUI\ApplicationSetup.es-ES.resx","label5.ToolTip","unused","Enter the default password to apply to new backups","Introduzca la contraseña por defecto para aplicar a nuevas copias de seguridad","79"
"GUI\ApplicationSetup.es-ES.resx","label6.Text","updated","Content","Contenido","80"
"GUI\ApplicationSetup.es-ES.resx","label7.Text","updated","Period to pause duplicati after startup","Período a pausar Duplicati después de arrancar","81"
"GUI\ApplicationSetup.es-ES.resx","label7.ToolTip","updated","Select the amount of time Duplicat is paused after startup","Selecciona el tiempo total que Duplicati debe estar pausado después de arrancar","82"
"GUI\ApplicationSetup.es-ES.resx","label8.Text","updated","Balloon notifications","Notificaciones","83"
"GUI\ApplicationSetup.es-ES.resx","label8.ToolTip","updated","Choose the level of notification given by balloon tips","Elija el nivel de notificaciones dadas por globos de sugerencias","84"
