"CommandLine\Decrypter\Strings\Program.pt-BR.resx","ProgramUsage","updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>","Uso: Duplicati.CommandLine.Decrypter.exe <senha> <arquivo-entrada> <arquivo-saida>","1"
"CommandLine\Strings\Program.pt-BR.resx","AddedFoldersHeader","updated","Added folders","Pastas adicionadas","2"
"CommandLine\Strings\Program.pt-BR.resx","CollectionStatusHeader","updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","Foram encontrados {0} backup no armazenamento

Tipo\tHora\t\t\tVolume\tTamanho","3"
"CommandLine\Strings\Program.pt-BR.resx","CollectionStatusLineFull","updated","Full\t{0}\t{1}\t{2}","Completo\t{0}\t{1}\t{2}","4"
"CommandLine\Strings\Program.pt-BR.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}"," Inc\t{0}\t{1}\t{2}","5"
"CommandLine\Strings\Program.pt-BR.resx","ControlFilesHeader","updated","Control files","Arquivos de controle","6"
"CommandLine\Strings\Program.pt-BR.resx","DeletedFilesHeader","updated","Deleted files","Arquivos removidos","7"
"CommandLine\Strings\Program.pt-BR.resx","DeletedFoldersHeader","updated","Deleted folders","Pastas removidas","8"
"CommandLine\Strings\Program.pt-BR.resx","DuplicatiOptionsHeader","updated","Duplicati options:","Opções do Duplicati:","9"
"CommandLine\Strings\Program.pt-BR.resx","FailedToParseParametersFileError","missing","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.pt-BR.resx","FileEntryNotFound","updated","< not found >","< não encontrado >","10"
"CommandLine\Strings\Program.pt-BR.resx","FiltersCannotBeUsedWithFileError","missing","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.pt-BR.resx","FindLastVersionEntry","not-updated","{0}\t{1}","{0}\t{1}","11"
"CommandLine\Strings\Program.pt-BR.resx","FindLastVersionHeader","updated","Backuptime\t\tFilename","Tempo de Backup\t\tArquivo","12"
